BATBC,BEXIMCO,LANKABANGLA
1079.1,15.3,19.4
1071.7,15.3,19.3
1072.3,15.1,19
1064.3,14.8,18
1040.5,14.7,17.6
1024,14.6,17.6
1008.8,14.6,17.6
1012.4,14.6,17.8
1012.6,14.3,17.5
998.4,13.9,16.7
985.5,13.9,17
979.2,14.1,17.9
973.3,13.9,17.7
962.8,13.8,17.2
954.5,13.7,17.4
956.1,14.1,18
968.9,13.8,18
969.9,13.8,18
983.9,14,17.9
984,15,17.7
992.3,14.6,17.1
984.7,14.2,16.7
975.6,13.9,16.6
956,13.8,16.5
928.5,13.9,16.3
938.2,13.8,16.3
908.8,13.4,15.3
879.4,13,15.1
889.1,13.1,15.3
902.9,13.2,15.7
970.6,14.2,17.2
971.1,14.5,17.2
972.6,14.2,17
995.1,14.3,17.2
1031.7,14.7,17.7
1071.4,14.6,17.3
1105.7,14.2,16.8
1125.4,14.2,16.6
1085.1,13.8,16.6
1073.4,13.9,16.1
1085.4,14,17.5
1081.5,14.8,17.2
1066.7,14.6,16.6
1059,14.9,16.1
1063.1,15,16.2
1050.6,14.5,15.8
1035.9,14.4,15.8
1056.7,14.7,16.4
1057.4,14.5,16.2
1079.2,15.3,17.1
1099.5,16.8,17.3
1099.4,17.5,17.5
1096.1,17.2,17.4
1087.8,17.4,17.2
1077,17.1,16.8
1063,16.5,16.5
1047.9,16,16.3
1030.1,16.4,16.3
1011.2,16.2,15.8
986.4,15.9,15.6
972.5,15.3,15.1
987.8,15.4,15.5
997.4,16.2,15.7
988.6,15.5,15.4
979.8,15.3,15.2
967.6,14.6,14.7
915.4,13.5,13.4
953.1,14.3,13.9
962.2,14.3,14.2
910.7,13.8,13.7
874.4,12.9,12.6
828.7,12.2,12.3
893.6,11.6,11.8
907.6,12.9,12.8
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,14.3,12.9
907.6,14.6,12.9
907.6,13.5,12.9
907.6,13.3,12.9
907.6,13.3,12.9
907.6,13.5,12.9
907.6,13.2,12.9
907.6,13.3,12.9
907.6,13.6,12.9
907.6,13.5,12.9
907.6,13.4,12.9
907.6,13.2,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
907.6,13.3,13.1
907.6,13.5,13.7
907.6,13.3,13.2
907.6,13,13.4
907.6,13,13.2
907.6,13,13.3
907.6,13,13.3
907.6,13,12.9
907.6,13,12.9
907.6,13,12.9
